Item,Desc.,AlternativeItem,Desc.
11122001SD01117,Ply Comm GLAMOUR COMMON CLAD,11122001SD00743,Ply Comm PLYWOOD BACK 1 FOR
11162100SD00075,DO NOT USE Crape Woven fabric,11162113SD00399,Fabric Woven Bay Blue 54
11162100SD00077,DO NOT USE Crape Woven fabric,11162113SD00401,Fabric Voila FC04/V12 Prussian
11162100SD00093,DO NOT USE Crape Woven fabric,11162113SD00395,Fabric Voila FC01/V05 Black
11162100SD00094,DO NOT USE Crape Woven fabric,11162113SD00396,Fabric Voila FC06/V06 Garnet
11162100SD00110,DO NOT USE Crape Woven fabric,11162113SD00392,Fabric Voila FC07/V02 Royal
11162100SD00112,DO NOT USE Crape Woven fabric,11162113SD00413,Fabric Voila V08 Earth Song
11162100SD00114,DO NOT USE Crape Woven fabric,11162113SD00402,Fabric Voila FC18/V13 Milan
11162100SD00116,DO NOT USE Crape Woven fabric,11162113SD00415,Fabric Voila V16 Jungle 54
11162100SD00117,DO NOT USE Crape Woven fabric,11162113SD00406,Fabric Voila FC64/V17 Mint Ice
11162113SD00396,Fabric Voila FC06/V06 Garnet,11162113SD00795,"Fabric CW Pln FC06 Garnet 54"""
11162113SD00401,Fabric Voila FC04/V12 Prussian,11162113SD00782,Fabric CW Pln FC04 Prussian
11162113SD00788,Fabric CW Pln FC01 Black Ink,11162113SD00395,Fabric Voila FC01/V05 Black
13111308DG00003,Thrmcl Top Ref Edge Pro Common,13111308DG00001,Thrmcl EPS TABLE TOP SPRT EPRO
13111308DG00009,Thrmcl Base Ref Edge Pro,52141501PA02391,Thrmcl Base Asy Edgepro Pd/Pds
13111308DG00042,Thrmcl Bottom for half plastic,13111308DG00158,Thrmcl HALF PLASTIC BASE CW
13111308DG00052,Thrmcl Bottom for metal base,13111308DG00158,Thrmcl HALF PLASTIC BASE CW
13111308DG00093,Thrmcl Base Edge Pro Common,13111308DG00187,Thrmcl Half Plast Base Epro
13111308DG00095,Thrmcl EPS SPACER DR 190L/210L,31161816SD00005,Spacer EPS White
13111308DG00097,Thrmcl Top EON 240/260L,24141508DG00942,Top pkg Table Eon240/260L
13111308DG00098,Thrmcl Base EON 240/260L,52141501PA02395,Thrmcl Base Asy Eon 240/260
13111308DG00162,Thrmcl TOP EDGEPRO,13111308DG00001,Thrmcl EPS TABLE TOP SPRT EPRO
13111308DG00168,Thrmcl MFD INSULATION UPPER,52141501PA00092,MFD assy top NXW  ALL
13111308DG00175,Thrmcl MFD BARRIER SPIN,52141501PA00082,ASLY MFD GAD SPIN 240-350L TOP
13111308DG00176,Thrmcl MFD INSULATION TOP GAD,52141501PA00082,ASLY MFD GAD SPIN 240-350L TOP
13111308DG00177,Thrmcl MFD INSULATION BOTTOM,52141501PA00084,ASY MFD GDSPN 240-260-310L BTM
13111308DG00178,Thrmcl MFD INSULATION BOTTOM,52141501PA00085,MFD Btm Asy GSpin 330-350
13111308DG00192,Thrmcl EPS SIDE PACKING NXW,13111308DG00103,Thrmcl Side Rh NXW
13111308DG00201,Thrmcl SPACER FOR FRONT FACIA,13111308DG00039,Thrmcl Spacer for facia 1 Edge
13111308DG00649,Thrmcl Base Half Pls Edge UNO,13111308DG00158,Thrmcl HALF PLASTIC BASE CW
13111308SD00017,Thrmcl T:20 L:1015 W:320 White,24141508DG00045,Side pkg Paper pulp Epro
13111308SD00018,Thrmcl T:20 L:920 W:320 White,24141508DG00045,Side pkg Paper pulp Epro
13111308SD00019,Thrmcl T:15 L:1105 W:400 White,24141508DG00045,Side pkg Paper pulp Epro
13111308SD00020,Thrmcl T:15 L:1010 W:400 White,24141508DG00045,Side pkg Paper pulp Epro
13111309SD08750,Sponge D18 530 490 15 SUPER,13111309DG00217,PU foam Pad 225 Aerogel ENFlex
13111309SD08751,Sponge D18 355 350 15 SUPER,13111309DG00218,PU foam Pad 99L Aerogel ENFlex
14111606SD00031,Art or craft paper Green 15cm,55101501SD00014,"Chart 6"""
23251803SD01082,HPDC ACE CHAIR PEDESTAL PROD,56101504PA02392,CHR SEDNA PEDESTAL BUFFING
